icao24,callsign,origin_country,time_position,last_contact,lon,lat,alt,on_ground,velocity,heading,vertical_rate,sensors,alt,squawk,spi,position_source
88812b,HVN39   ,Viet Nam,1775071754.0,1775071754,90.2841,20.1565,10972.8,False,231.81,306.97,0.0,,11559.54,5537,False,0
888138,HVN35   ,Viet Nam,1775071754.0,1775071754,90.3394,22.438,10972.8,False,212.61,277.23,0.0,,11536.68,7024,False,0
888139,HVN10   ,Viet Nam,1775070934.0,1775071754,94.0647,19.0367,10972.8,False,252.08,126.87,0.0,,11620.5,7024,False,0
888129,HVN980  ,Viet Nam,1775071754.0,1775071754,85.924,24.1332,11879.58,False,289.09,124.34,0.0,,12390.12,0523,False,0
888167,HVN19   ,Viet Nam,1775071754.0,1775071754,88.7698,22.6683,10972.8,False,219.78,300.53,0.0,,11384.28,7054,False,0
888153,HVN18   ,Viet Nam,1775071754.0,1775071754,76.6114,28.5251,12496.8,False,269.78,127.33,0.0,,12877.8,,False,0
7705c3,ALK141  ,Sri Lanka,1775071515.0,1775071520,75.4131,13.5173,10980.42,False,234.73,324.18,0.0,,11574.78,,False,0
706131,JZR3432 ,Kuwait,1775071753.0,1775071753,75.9203,13.9665,9052.56,False,234.28,287.64,4.55,,9403.08,,False,0
8880f8,HVN30   ,Viet Nam,1775071754.0,1775071754,84.6098,24.2235,11887.2,False,298.1,112.85,0.0,,12397.74,6427,False,0
8880df,HVN36   ,Viet Nam,1775071735.0,1775071735,80.1397,26.2013,11887.2,False,283.6,107.42,-0.33,,12352.02,,False,0
8880e4,HVN978  ,Viet Nam,1775071680.0,1775071682,86.1959,16.9624,11887.2,False,261.53,103.65,0.0,,12519.66,0315,False,0
8880e1,HVN37   ,Viet Nam,1775071731.0,1775071746,83.6931,25.0654,10972.8,False,213.06,297.31,-0.33,,11437.62,7017,False,0
8880e2,HVN31   ,Viet Nam,1775071754.0,1775071754,85.6866,22.7642,10363.2,False,225.73,295.51,0.33,,10858.5,5603,False,0
4d0113,CLX7623 ,Luxembourg,1775071754.0,1775071754,90.2501,22.446,12496.8,False,288.29,97.18,0.0,,13075.92,3504,False,0
8940bb,DHX821  ,Bahrain,1775071752.0,1775071754,83.7395,22.9924,11277.6,False,282.37,93.24,0.0,,11788.14,3505,False,0
7502da,MXD164  ,Malaysia,1775071754.0,1775071754,96.9786,16.4426,10972.8,False,237.89,333.27,0.0,,11620.5,,False,0
